"","0050","0056","006205","00646"
"377",80.4,25.67,28.94,21.99
"378",80.32,25.7,28.74,22.04
"379",80.26,25.61,28.74,22.08
"380",80.35,25.64,29.02,22.07
"381",79.95,25.58,29.08,21.92
"382",80.22,25.58,29.19,22.1
"383",81.24,25.76,29.31,22.1
"384",81.59,25.93,29.46,22.07
"385",82.17,26.01,29.41,22.1
"386",81.99,26.05,29.58,22.12
"387",82.27,26.12,29.76,22.2
"388",82.2,26.1,29.64,22.22
"389",82.71,26.24,29.86,22.22
"390",82.7,26.26,30.21,22.38
"391",82.19,26.13,30.32,22.47
"392",82.08,26,30.26,22.37
"393",82.3,26.14,30.28,22.36
"394",82.35,26.16,30.12,22.41
"395",82.79,26.19,30.02,22.37
"396",82.23,26.19,30.04,22.24
"397",81.35,26.09,30.17,22.27
"398",81.88,26.17,30.33,22.25
"399",82.44,26.27,30.5,22.35
"400",82.13,26.24,30.41,22.34
"401",82.25,26.26,30.26,22.24
"402",82.82,26.34,30.09,22.28
"403",82.89,26.37,30.2,22.28
"404",82.23,26.3,30.17,22.24
"405",81.64,25.93,30.06,22.25
"406",81.07,25.77,29.87,22.05
"407",81.08,25.58,29.7,22.18
"408",81.22,25.63,29.97,22.3
"409",80.81,25.64,29.82,22.32
"410",81.51,25.81,29.99,22.29
"411",80.95,25.66,30,22.02
"412",80.99,25.65,30.19,21.97
"413",81.78,25.75,30.35,22
"414",82.02,25.87,30.45,22.09
"415",82.37,25.91,30.49,22.07
"416",82.65,25.94,30.56,21.98
"417",82.59,25.96,31.24,21.95
"418",82.19,25.89,31.42,21.9
"419",82.76,25.93,31.57,21.96
"420",82.94,26.09,31.33,22.06
"421",83.01,26.23,31.46,22.22
"422",82.97,26.21,31.46,22.08
"423",82.8,26.26,31.59,22.08
"424",82.7,26.25,31.57,22.06
"425",82.52,26.21,31.59,22.1
"426",82.7,26.2,31.53,22.02
"427",82.84,26.3,31.55,22.11
"428",82.9,26.47,31.46,22.25
"429",82.44,26.51,31.5,22.32
"430",82.38,26.51,31.45,22.41
"431",82.28,26.52,31.31,22.34
"432",82.98,26.74,31.39,22.42
"433",82.99,26.63,31.35,22.47
"434",82.17,26.37,31.25,22.48
"435",82.36,26.41,31.37,22.55
"436",81.78,26.26,31.29,22.53
"437",81.01,25.87,31.12,22.52
"438",80.63,25.73,31.05,22.47
"439",80.75,25.75,31.04,22.5
"440",80.51,25.8,31.04,22.64
"441",80.49,25.68,31.11,22.75
"442",81.05,25.93,31.13,22.91
"443",81.45,26.1,31.2,22.89
"444",81.53,26.19,31.47,22.96
"445",81.85,26.25,32.07,23
"446",82.06,26.41,32.15,23.14
"447",83.15,26.4,31.92,23.04
"448",83.96,26.37,31.86,23.08
"449",83.91,26.27,31.87,23.03
"450",84.28,26.36,31.85,23.03
"451",84.5,26.35,31.72,23.06
"452",84.58,26.32,31.57,23.11
"453",85,26.36,31.64,23.16
"454",84.63,26.31,31.59,23.22
"455",84.63,26.47,31.61,23.33
"456",84.41,26.57,31.67,23.24
"457",84.36,26.65,31.76,23.23
"458",84.25,26.59,32,23.14
"459",84.49,26.52,32.08,23.16
"460",85.08,25.42,32,23.29
"461",85.12,25.53,31.9,23.23
"462",85.17,25.59,32.03,23.23
"463",84.89,25.66,31.98,23.2
"464",84.8,25.69,31.86,23.28
"465",84.91,25.6,31.85,23.32
"466",85.11,25.58,32.2,23.35
"467",85.03,25.6,32.34,23.36
"468",84.82,25.52,32.26,23.4
"469",84.29,25.19,32.39,23.28
"470",84.28,25.06,32.64,23.32
"471",84.1,25.01,32.61,23.25
"472",83.46,24.98,32.34,23.12
"473",83.5,25.02,32.35,23.1
"474",84.33,25.15,32.5,23.26
"475",84.1,25.08,32.56,23.13
"476",84.13,25.19,33.08,23.18
"477",85.36,25.18,33.51,23.24
"478",85.15,25.21,33.39,23.28
"479",85.18,25.25,32.66,23.27
"480",84.41,25.24,32.44,23.26
"481",83.69,25.15,32.27,23.37
"482",83.71,25.17,32.33,23.5
"483",82.56,25.01,32.23,23.49
"484",82.22,24.95,31.95,23.68
"485",82.62,24.9,32.02,23.89
"486",82.37,24.89,32.27,23.69
"487",81.3,24.72,32.08,23.63
"488",80.76,24.51,31.9,23.69
"489",80.88,24.5,31.86,23.73
"490",81.48,24.83,32.2,23.83
"491",80.91,24.83,32.33,23.93
"492",81,24.83,32.01,23.91
"493",81.79,24.92,32.18,23.93
"494",80.93,24.85,31.9,23.85
"495",81.12,24.86,31.82,24.13
"496",81.04,24.81,31.95,24.17
"497",80.88,24.89,32.09,24.09
"498",81.13,24.9,32.41,24.04
"499",80.9,24.87,32.4,24.06
"500",81.39,24.91,32.4,24.06
"501",80.8,24.86,32.32,24
"502",80.76,24.88,32.24,24.04
"503",81.55,24.91,31.97,24.04
"504",82.03,25.01,32.07,23.88
"505",82.48,25.08,32.43,23.73
"506",83.3,25.26,32.79,23.83
"507",83.4,25.4,32.87,24.02
"508",83.6,25.43,32.91,24.1
"509",83.97,25.53,33.05,24.2
"510",84.06,25.57,33.21,24.19
"511",83.89,25.43,33.35,24.3
"512",83.31,25.39,33.35,24.31
"513",84.01,25.54,33.58,24.41
"514",84.58,25.59,34.01,24.61
"515",84.81,25.74,34.12,24.62
"516",85.14,25.87,34.38,24.54
"517",86.12,26.05,34.52,24.71
"518",86.95,26.04,34.85,24.65
"519",87.61,26.16,34.85,24.57
"520",88.17,26.27,35.07,24.76
"521",87.18,26.31,35.28,24.85
"522",87.68,26.51,35.16,24.78
"523",87.27,26.45,35.34,24.77
"524",85.54,26.74,35.51,25.04
"525",84.89,26.6,34.84,24.96
"526",84.45,26.34,34.7,24.68
"527",85.24,26.48,34.88,24.81
"528",84.73,26.3,34.9,24.69
"529",83.24,25.86,34.88,24.19
"530",79.88,25.03,34.56,23.36
"531",81.08,25.41,34.69,23.49
"532",80.51,25.4,33.33,23.51
"533",78.45,24.93,31.47,22.84
"534",79.7,25.2,31.53,23.1
"535",81.49,25.59,32.54,23.72
"536",81.02,25.62,32.62,23.67
"537",81.82,25.78,33.06,23.77
"538",82.56,25.94,33.35,24.13
"539",82.78,26.01,33.43,24.4
"540",81.62,25.82,32.7,23.92
"541",80.8,25.73,32.42,23.62
"542",81.07,25.71,32.36,23.63
"543",81.85,25.71,32.45,23.81
"544",82.05,25.75,32.83,23.69
"545",82.58,26,32.77,23.94
"546",82.89,25.97,32.92,24.05
"547",84.03,26.08,33.2,24.49
"548",84.54,26.14,33.1,24.49
"549",84.27,26.14,32.75,24.34
"550",84.12,26.04,32.9,24.29
"551",83.48,26.1,32.82,24.13
"552",83.85,26.18,32.54,24.15
"553",83.49,26.1,32.59,23.88
"554",83.83,26.18,32.93,23.92
"555",84.01,26.26,32.47,23.89
"556",82.06,25.78,31.35,23.17
"557",81.9,25.9,31.19,22.89
"558",83.16,26.1,31.69,23.45
"559",82.46,25.97,31.3,23
"560",82.01,25.88,30.97,22.96
"561",82.91,25.96,31.5,23.31
"562",82.89,25.96,31.54,23.46
"563",82.36,26.02,31.66,23.21
"564",81.36,25.91,31.25,23
"565",82,25.9,31.32,23.07
"566",82.56,25.93,31.46,23.15
"567",82.93,26.06,31.99,23.27
"568",82.53,26.04,31.93,23.29
"569",82.58,26.01,31.82,23.46
"570",82.24,25.86,31.41,23.47
"571",81.59,25.75,31.14,23.69
"572",81.72,25.71,30.67,23.87
"573",82.45,25.78,31.13,23.95
"574",80.77,25.8,30.95,23.8
"575",80.07,25.69,30.91,23.74
"576",79.55,25.55,31.37,23.81
"577",79.09,25.26,31.37,23.49
"578",79.17,25.23,31.13,23.69
"579",79.05,25.11,30.7,23.81
"580",79.7,25.18,31.02,23.85
"581",79.74,25.33,30.82,23.71
"582",78.66,25.22,30.75,23.55
"583",78.62,25.17,30.96,23.47
"584",79.27,25.25,31.16,23.85
"585",79.88,25.36,31.62,23.92
"586",80.4,25.4,31.77,23.99
"587",80.58,25.5,31.86,24.32
"588",81.39,25.55,31.94,24.4
"589",82.26,25.75,32.09,24.51
"590",81.98,25.77,32.06,24.47
"591",81.67,25.94,32.11,24.4
"592",81.47,26.1,31.97,24.48
"593",81.06,26.19,31.85,24.55
"594",81.93,26.38,32.42,24.59
"595",82.02,26.39,32.21,24.63
"596",81.59,26.41,31.94,24.53
"597",81.5,26.38,31.66,24.6
"598",81.83,26.38,31.56,24.65
"599",82.13,26.35,31.55,24.63
"600",81.69,26.33,31.36,24.58
"601",80.59,26.04,30.8,24.34
"602",80.72,26.2,30.97,24.59
"603",81.21,26.36,31.02,24.45
"604",82.35,26.57,31.06,24.58
"605",82.47,26.64,31.21,24.61
"606",83.06,26.76,31.37,24.63
"607",83.21,26.76,31.5,24.82
"608",82.95,26.71,31.06,24.87
"609",82.59,26.65,30.94,24.9
"610",82.23,26.61,31.1,25
"611",82.75,26.57,31.18,25.06
"612",82.07,26.44,31.08,25.02
"613",81.48,26.3,31.05,25.09
"614",80.81,26.1,30.48,25.01
"615",81.07,26.04,29.83,25.11
"616",81.36,26.11,30.13,25.29
"617",80.7,25.91,29.82,25.11
"618",80.88,25.81,29.87,25.07
"619",80.35,25.6,28.97,24.89
"620",80.52,25.67,28.71,24.95
"621",80.02,25.43,28.27,24.92
"622",80.82,25.58,28.38,25
"623",81.51,25.69,28.22,24.92
"624",81.17,25.52,27.39,25.05
"625",81.31,25.5,27.65,24.9
"626",80.95,25.39,27.59,25.02
"627",80.68,25.23,27.42,25.1
"628",82.09,25.51,28.14,25.33
"629",82.52,25.63,28.42,25.44
"630",81.53,25.52,27.86,25.37
"631",82.42,25.56,28.32,25.53
"632",83.12,25.76,28.62,25.67
"633",83.19,25.9,28.45,25.73
"634",82.62,25.98,28.17,25.72
"635",83.24,26.19,28.26,25.81
"636",83.59,26.26,28.03,25.89
"637",84.48,26.19,27.75,25.84
"638",84.39,26.22,28.47,25.72
"639",84.55,26.33,29.12,25.93
"640",84.72,26.47,29.16,25.93
"641",85.03,26.56,29,26
"642",85.54,26.84,28.78,26.1
"643",85.68,27.01,28.68,25.83
"644",85.43,27.06,28.66,25.85
"645",85.99,27.26,28.76,25.94
"646",85.48,27.14,27.71,25.92
"647",85.54,27.16,27.5,26.07
"648",85.81,27.36,27.23,26.13
"649",85.6,27.44,27.17,26.23
"650",86.21,27.62,27.59,26.3
"651",86.05,27.51,27.72,26.32
"652",85.86,27.54,27.86,26.24
"653",84.23,27.24,27.29,26.15
"654",84.34,27.28,27.46,26.16
"655",83.75,27.12,27.02,26.3
"656",83.54,26.99,26.75,26.19
"657",83.82,27.2,26.89,26.33
"658",83.86,27.18,26.7,26.42
"659",84.39,27.2,27.18,26.44
"660",84.67,27.28,27.27,26.39
"661",84.92,27.29,27.11,26.49
"662",84.76,27.17,27.18,26.48
"663",85.32,27.33,27.8,26.71
"664",86.22,27.51,28.09,26.89
"665",87.02,27.58,27.99,26.83
"666",87.87,27.69,27.77,26.95
"667",86.76,27.66,27.56,26.88
"668",86.78,27.73,27.36,26.92
"669",86.74,27.65,27.47,26.91
"670",87.02,27.6,27.55,26.88
"671",86.53,27.38,27.26,26.82
"672",86.21,27.16,27.11,26.68
"673",85.96,26.73,26.99,26.66
"674",85.65,26.65,26.89,26.73
"675",85.45,26.68,26.59,26.84
"676",85.23,26.89,26.82,26.83
"677",86.09,27.29,27.03,26.94
"678",86,27.47,26.85,26.97
"679",85.47,27.35,26.78,26.8
"680",86,27.41,27.47,26.94
"681",86.04,27.39,27.6,27
"682",86.4,27.39,27.95,27.21
"683",86.96,27.49,28.11,27.02
"684",86.89,27.4,28.46,27.04
"685",87.19,27.34,28.32,26.91
"686",87.21,27.28,28.4,26.88
"687",87.27,27.34,28.38,27
"688",86.37,27.2,28.07,26.98
"689",86,27.01,27.87,27.02
"690",84.96,26.75,27.52,27.06
"691",83.75,26.46,27.3,27.03
"692",82.87,26.46,27.59,26.88
"693",83.12,26.29,27.37,26.94
"694",78.62,24.98,26.44,25.91
"695",78.76,24.94,26.29,25.78
"696",78.84,25.18,26.32,25.73
"697",79.05,25.32,26.19,25.7
"698",79.94,25.61,26.06,26.13
"699",79.27,25.49,25.78,26.16
"700",78.59,25.38,25.58,25.96
"701",78.62,25.71,26.85,25.84
"702",78.06,24.18,26.99,25.68
"703",77.26,24.05,26.93,25.62
"704",75.71,23.59,26.32,24.94
"705",75.27,23.48,26.62,24.99
"706",75.67,23.32,26.19,24.9
"707",75.91,23.35,25.93,24.87
"708",77.22,23.71,26.23,25.1
"709",78.23,24.01,26.74,25.41
"710",78.45,24.14,27.11,25.44
"711",77.95,24.12,27.03,25.21
"712",77.98,24.11,26.88,25.43
"713",78.4,24.18,27.13,25.74
"714",78.9,24.39,27.05,26.08
"715",77.81,24.19,26.45,26
"716",78,24.21,26.45,25.93
"717",76.49,23.84,26.58,25.45
"718",77.26,24.12,26.8,25.46
"719",77.36,24.13,26.76,25.21
"720",77.14,24.28,27.04,25.37
"721",76.79,24.38,27.09,25.47
"722",76.13,24.23,26.93,25.07
"723",75.59,23.99,26.69,24.75
"724",75.93,24.02,26.69,24.78
"725",75.33,23.92,26.45,24.7
"726",76.32,24.09,26.31,24.7
"727",75.6,24.05,26.28,24.87
"728",76.49,24.18,26.34,25.08
"729",77.46,24.44,26.5,25.42
"730",77.12,24.47,26.26,25.45
"731",78.59,24.81,27.09,25.96
"732",78.29,24.87,27.17,25.72
"733",76.85,24.58,27.1,25.21
"734",75.19,24.2,26.73,24.95
"735",75.55,24.24,26.65,25.13
"736",74.58,24.08,26.3,24.42
"737",74.8,24.15,26.27,24.56
"738",75.84,24.29,26.47,24.69
"739",76.27,24.38,26.89,24.83
"740",75.2,24.28,26.64,24.59
"741",75.77,24.29,26.47,24.35
"742",75.31,24.05,26.21,23.93
"743",75.75,24.13,26.09,23.83
"744",75.19,24.12,25.66,23.42
"745",74.84,24.07,25.35,23.08
"746",74.75,24.15,25.08,22.93
"747",74.67,24.16,25.25,22.72
"748",73.57,23.9,24.9,22.51
"749",73.87,23.83,25.16,22.13
"750",74.81,23.96,25.3,22.95
"751",75.21,23.92,25.24,23.16
